income_band,avg_loan_amount,app_count
10000.0,494973.0,737
20000.0,501050.0,952
30000.0,293376.0,1127
40000.0,190666.0,2757
50000.0,186782.0,4821
60000.0,214208.0,6625
70000.0,247555.0,8520
80000.0,279866.0,9922
90000.0,317333.0,10667
100000.0,349667.0,11512
110000.0,386212.0,11655
120000.0,416411.0,12131
130000.0,447408.0,11575
140000.0,478740.0,11280
150000.0,502407.0,10781
160000.0,528338.0,10111
170000.0,550371.0,9714
180000.0,573697.0,9376
190000.0,593444.0,8383
200000.0,612773.0,7751
210000.0,630207.0,7068
220000.0,649328.0,6624
230000.0,674262.0,6074
240000.0,688102.0,5773
250000.0,713925.0,5283
260000.0,727163.0,4983
270000.0,745980.0,4376
280000.0,761321.0,4224
290000.0,777507.0,3818
300000.0,806293.0,3999
310000.0,834670.0,3428
320000.0,851952.0,3127
330000.0,852420.0,3012
340000.0,878619.0,2791
350000.0,907631.0,2816
360000.0,915905.0,2609
370000.0,942922.0,2387
380000.0,954180.0,2206
390000.0,961396.0,2048
400000.0,984060.0,2054
410000.0,1009827.0,1672
420000.0,999509.0,1692
430000.0,1020390.0,1564
440000.0,1046162.0,1351
450000.0,1031882.0,1440
460000.0,1053179.0,1230
470000.0,1087851.0,1112
480000.0,1069476.0,1117
490000.0,1093323.0,954
500000.0,1084190.0,667
